Erro = type:KeyError | message: 'music_not_status_data' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\RewardEvents.py', 'name': 'save_music_config', 'lineno': 3393}] | time: 22/11/2022 14:51:03 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:15:37 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:15:39 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:15:41 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:15:46 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:15:50 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:15:53 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:15:55 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:15:59 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:16:01 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:16:03 
